Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
90.000000	0.233021  	90.000000	0.167752  	90.000000	0.168779  	90.000000	0.168234  	90.000000	0.168765  	90.000000	0.167691  	90.000000	6.10079e-05	
95.000000	0.223739  	95.000000	0.161401  	95.000000	0.162418  	95.000000	0.161872  	95.000000	0.162413  	95.000000	0.161343  	95.000000	5.81016e-05	
100.000000	0.21532   	100.000000	0.155641  	100.000000	0.156641  	100.000000	0.156094  	100.000000	0.156644  	100.000000	0.155586  	100.000000	5.54711e-05	
105.000000	0.207647  	105.000000	0.150394  	105.000000	0.151368  	105.000000	0.150822  	105.000000	0.151377  	105.000000	0.150341  	105.000000	5.30784e-05	
110.000000	0.200624  	110.000000	0.145593  	110.000000	0.146558  	110.000000	0.145993  	110.000000	0.146552  	110.000000	0.145542  	110.000000	5.08921e-05	
115.000000	0.194168  	115.000000	0.141183  	115.000000	0.142123  	115.000000	0.141551  	115.000000	0.142112  	115.000000	0.141134  	115.000000	4.88863e-05	
120.000000	0.188213  	120.000000	0.137118  	120.000000	0.138019  	120.000000	0.137451  	120.000000	0.138015  	120.000000	0.137071  	120.000000	4.70392e-05	
125.000000	0.1827    	125.000000	0.133358  	125.000000	0.134222  	125.000000	0.133656  	125.000000	0.13422   	125.000000	0.133313  	125.000000	4.53325e-05	
130.000000	0.177582  	130.000000	0.12987   	130.000000	0.130696  	130.000000	0.130131  	130.000000	0.130696  	130.000000	0.129827  	130.000000	4.37504e-05	
135.000000	0.172815  	135.000000	0.126626  	135.000000	0.127412  	135.000000	0.12685   	135.000000	0.127413  	135.000000	0.126584  	135.000000	4.22797e-05	
140.000000	0.168365  	140.000000	0.123601  	140.000000	0.124347  	140.000000	0.123787  	140.000000	0.124349  	140.000000	0.12356   	140.000000	4.09087e-05	
145.000000	0.164199  	145.000000	0.120772  	145.000000	0.121479  	145.000000	0.120921  	145.000000	0.121482  	145.000000	0.120733  	145.000000	3.96276e-05	
150.000000	0.160291  	150.000000	0.118122  	150.000000	0.11879   	150.000000	0.118234  	150.000000	0.118793  	150.000000	0.118084  	150.000000	3.84277e-05	
155.000000	0.154789  	155.000000	0.115634  	155.000000	0.116263  	155.000000	0.115709  	155.000000	0.116266  	155.000000	0.115597  	155.000000	3.73013e-05	
160.000000	0.151563  	160.000000	0.113293  	160.000000	0.113884  	160.000000	0.113332  	160.000000	0.113887  	160.000000	0.113257  	160.000000	3.62419e-05	
165.000000	0.148522  	165.000000	0.111087  	165.000000	0.11164   	165.000000	0.111091  	165.000000	0.111644  	165.000000	0.111052  	165.000000	3.52435e-05	
170.000000	0.145649  	170.000000	0.109004  	170.000000	0.109521  	170.000000	0.108973  	170.000000	0.109524  	170.000000	0.10897   	170.000000	3.43009e-05	
175.000000	0.14293   	175.000000	0.107035  	175.000000	0.107516  	175.000000	0.10697   	175.000000	0.107519  	175.000000	0.107002  	175.000000	3.34096e-05	
180.000000	0.140354  	180.000000	0.10517   	180.000000	0.105615  	180.000000	0.105072  	180.000000	0.105618  	180.000000	0.105137  	180.000000	3.25653e-05	
