Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
95.000000	0.223739  	95.000000	0.229258  	95.000000	0.228463  	95.000000	0.227838  	95.000000	0.228458  	95.000000	0.229172  	95.000000	8.6287e-05	
100.000000	0.21532   	100.000000	0.220739  	100.000000	0.219997  	100.000000	0.21937   	100.000000	0.219999  	100.000000	0.220657  	100.000000	8.23332e-05	
105.000000	0.207647  	105.000000	0.212989  	105.000000	0.212286  	105.000000	0.211661  	105.000000	0.212297  	105.000000	0.212911  	105.000000	7.87392e-05	
110.000000	0.200624  	110.000000	0.205908  	110.000000	0.20526   	110.000000	0.204612  	110.000000	0.205253  	110.000000	0.205833  	110.000000	7.54575e-05	
115.000000	0.194168  	115.000000	0.199412  	115.000000	0.198796  	115.000000	0.198141  	115.000000	0.198784  	115.000000	0.199339  	115.000000	7.24484e-05	
120.000000	0.188213  	120.000000	0.19343   	120.000000	0.19283   	120.000000	0.192179  	120.000000	0.192825  	120.000000	0.193361  	120.000000	6.96791e-05	
125.000000	0.1827    	125.000000	0.187904  	125.000000	0.187318  	125.000000	0.186669  	125.000000	0.187315  	125.000000	0.187837  	125.000000	6.71215e-05	
130.000000	0.177582  	130.000000	0.182783  	130.000000	0.182207  	130.000000	0.18156   	130.000000	0.182206  	130.000000	0.182718  	130.000000	6.47519e-05	
135.000000	0.172815  	135.000000	0.178023  	135.000000	0.177454  	135.000000	0.17681   	135.000000	0.177455  	135.000000	0.177961  	135.000000	6.25502e-05	
140.000000	0.168365  	140.000000	0.173588  	140.000000	0.173024  	140.000000	0.172382  	140.000000	0.173026  	140.000000	0.173527  	140.000000	6.04989e-05	
145.000000	0.164199  	145.000000	0.169445  	145.000000	0.168884  	145.000000	0.168244  	145.000000	0.168887  	145.000000	0.169386  	145.000000	5.85829e-05	
