Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
75.000000	0.267685  	75.000000	0.263511  	75.000000	0.259735  	75.000000	0.259204  	75.000000	0.259742  	75.000000	0.263406  	75.000000	0.000104607	
80.000000	0.254792  	80.000000	0.250955  	80.000000	0.247491  	80.000000	0.246912  	80.000000	0.247481  	80.000000	0.250857  	80.000000	9.86346e-05	
85.000000	0.243313  	85.000000	0.23979   	85.000000	0.236553  	85.000000	0.235967  	85.000000	0.236558  	85.000000	0.239697  	85.000000	9.33323e-05	
90.000000	0.233021  	90.000000	0.229793  	90.000000	0.226781  	90.000000	0.226157  	90.000000	0.226764  	90.000000	0.229705  	90.000000	8.85921e-05	
95.000000	0.223739  	95.000000	0.22079   	95.000000	0.217936  	95.000000	0.217311  	95.000000	0.217931  	95.000000	0.220705  	95.000000	8.43281e-05	
100.000000	0.21532   	100.000000	0.212636  	100.000000	0.209919  	100.000000	0.209293  	100.000000	0.209922  	100.000000	0.212556  	100.000000	8.04711e-05	
105.000000	0.207647  	105.000000	0.205217  	105.000000	0.202615  	105.000000	0.201991  	105.000000	0.202626  	105.000000	0.20514   	105.000000	7.69647e-05	
110.000000	0.200624  	110.000000	0.198436  	110.000000	0.195958  	110.000000	0.195311  	110.000000	0.195951  	110.000000	0.198362  	110.000000	7.37626e-05	
115.000000	0.194168  	115.000000	0.192214  	115.000000	0.189832  	115.000000	0.189178  	115.000000	0.18982   	115.000000	0.192143  	115.000000	7.08263e-05	
120.000000	0.188213  	120.000000	0.186484  	120.000000	0.184174  	120.000000	0.183525  	120.000000	0.184169  	120.000000	0.186416  	120.000000	6.81237e-05	
125.000000	0.1827    	125.000000	0.181189  	125.000000	0.178946  	125.000000	0.178298  	125.000000	0.178943  	125.000000	0.181124  	125.000000	6.56275e-05	
130.000000	0.177582  	130.000000	0.176281  	130.000000	0.174097  	130.000000	0.173451  	130.000000	0.174096  	130.000000	0.176218  	130.000000	6.33148e-05	
